Source,Target
Aubergine , salt 
 Onion , Tomatoes 
 Onion , Garlic 
 Onion , Green Chili 
 Onion , Red Chili Powder 
 Onion , Oil 
 Onion , Coriander Leaves 
 Onion , salt 
 Tomatoes , Garlic 
 Tomatoes , Green Chili 
 Tomatoes , Red Chili Powder 
 Tomatoes , Oil 
 Tomatoes , Coriander Leaves 
 Tomatoes , salt 
 Garlic , Green Chili 
 Garlic , Red Chili Powder 
 Garlic , Oil 
 Garlic , Coriander Leaves 
 Garlic , salt 
 Green Chili , Red Chili Powder 
 Green Chili , Oil 
 Green Chili , Coriander Leaves 
 Green Chili , salt 
 Red Chili Powder , Oil 
 Red Chili Powder , Coriander Leaves 
 Red Chili Powder , salt 
 Oil , Coriander Leaves 
 Oil , salt 
 Coriander Leaves , salt 
Beef , Broccoli 
Beef , Potatoes 
Beef , Carrots 
Beef , plain flour 
Beef , Eggs 
Beef , milk 
Beef , sunflower oil 
 Broccoli , Potatoes 
 Broccoli , Carrots 
 Broccoli , plain flour 
 Broccoli , Eggs 
 Broccoli , milk 
 Broccoli , sunflower oil 
 Potatoes , Carrots 
 Potatoes , plain flour 
 Potatoes , Eggs 
 Potatoes , milk 
 Potatoes , sunflower oil 
 Carrots , plain flour 
 Carrots , Eggs 
 Carrots , milk 
 Carrots , sunflower oil 
 plain flour , Eggs 
 plain flour , milk 
 plain flour , sunflower oil 
 Eggs , milk 
 Eggs , sunflower oil 
 milk , sunflower oil 
Olive Oil , Onions 
Olive Oil , Garlic 
Olive Oil , Butter 
Olive Oil , Mushrooms 
Olive Oil , Beef Fillet 
Olive Oil , Plain Flour 
Olive Oil , Creme Fraiche 
Olive Oil , English Mustard 
Olive Oil , Beef Stock 
Olive Oil , Parsley 
 Onions , Garlic 
 Onions , Butter 
 Onions , Mushrooms 
 Onions , Beef Fillet 
 Onions , Plain Flour 
 Onions , Creme Fraiche 
 Onions , English Mustard 
 Onions , Beef Stock 
 Onions , Parsley 
 Garlic , Butter 
 Garlic , Mushrooms 
 Garlic , Beef Fillet 
 Garlic , Plain Flour 
 Garlic , Creme Fraiche 
 Garlic , English Mustard 
 Garlic , Beef Stock 
 Garlic , Parsley 
 Butter , Mushrooms 
 Butter , Beef Fillet 
 Butter , Plain Flour 
 Butter , Creme Fraiche 
 Butter , English Mustard 
 Butter , Beef Stock 
 Butter , Parsley 
 Mushrooms , Beef Fillet 
 Mushrooms , Plain Flour 
 Mushrooms , Creme Fraiche 
 Mushrooms , English Mustard 
 Mushrooms , Beef Stock 
 Mushrooms , Parsley 
 Beef Fillet , Plain Flour 
 Beef Fillet , Creme Fraiche 
 Beef Fillet , English Mustard 
 Beef Fillet , Beef Stock 
 Beef Fillet , Parsley 
 Plain Flour , Creme Fraiche 
 Plain Flour , English Mustard 
 Plain Flour , Beef Stock 
 Plain Flour , Parsley 
 Creme Fraiche , English Mustard 
 Creme Fraiche , Beef Stock 
 Creme Fraiche , Parsley 
 English Mustard , Beef Stock 
 English Mustard , Parsley 
 Beef Stock , Parsley 
Sausages , Tomato Sauce 
Sausages , Butter Beans 
Sausages , Black Treacle 
Sausages , English Mustard 
 Tomato Sauce , Butter Beans 
 Tomato Sauce , Black Treacle 
 Tomato Sauce , English Mustard 
 Butter Beans , Black Treacle 
 Butter Beans , English Mustard 
 Black Treacle , English Mustard 
Olive Oil , Butter 
Olive Oil , Beef 
Olive Oil , Plain Flour 
Olive Oil , Garlic 
Olive Oil , Onions 
Olive Oil , Celery 
Olive Oil , Carrots 
Olive Oil , Leek 
Olive Oil , Swede 
Olive Oil , Red Wine 
Olive Oil , Beef Stock 
Olive Oil , Bay Leaf 
Olive Oil , Thyme 
Olive Oil , Parsley 
Olive Oil , Plain Flour 
Olive Oil , Baking Powder 
Olive Oil , Suet 
Olive Oil , Water 
 Butter , Beef 
 Butter , Plain Flour 
 Butter , Garlic 
 Butter , Onions 
 Butter , Celery 
 Butter , Carrots 
 Butter , Leek 
 Butter , Swede 
 Butter , Red Wine 
 Butter , Beef Stock 
 Butter , Bay Leaf 
 Butter , Thyme 
 Butter , Parsley 
 Butter , Plain Flour 
 Butter , Baking Powder 
 Butter , Suet 
 Butter , Water 
 Beef , Plain Flour 
 Beef , Garlic 
 Beef , Onions 
 Beef , Celery 
 Beef , Carrots 
 Beef , Leek 
 Beef , Swede 
 Beef , Red Wine 
 Beef , Beef Stock 
 Beef , Bay Leaf 
 Beef , Thyme 
 Beef , Parsley 
 Beef , Plain Flour 
 Beef , Baking Powder 
 Beef , Suet 
 Beef , Water 
 Plain Flour , Garlic 
 Plain Flour , Onions 
 Plain Flour , Celery 
 Plain Flour , Carrots 
 Plain Flour , Leek 
 Plain Flour , Swede 
 Plain Flour , Red Wine 
 Plain Flour , Beef Stock 
 Plain Flour , Bay Leaf 
 Plain Flour , Thyme 
 Plain Flour , Parsley 
 Plain Flour , Plain Flour 
 Plain Flour , Baking Powder 
 Plain Flour , Suet 
 Plain Flour , Water 
 Garlic , Onions 
 Garlic , Celery 
 Garlic , Carrots 
 Garlic , Leek 
 Garlic , Swede 
 Garlic , Red Wine 
 Garlic , Beef Stock 
 Garlic , Bay Leaf 
 Garlic , Thyme 
 Garlic , Parsley 
 Garlic , Plain Flour 
 Garlic , Baking Powder 
 Garlic , Suet 
 Garlic , Water 
 Onions , Celery 
 Onions , Carrots 
 Onions , Leek 
 Onions , Swede 
 Onions , Red Wine 
 Onions , Beef Stock 
 Onions , Bay Leaf 
 Onions , Thyme 
 Onions , Parsley 
 Onions , Plain Flour 
 Onions , Baking Powder 
 Onions , Suet 
 Onions , Water 
 Celery , Carrots 
 Celery , Leek 
 Celery , Swede 
 Celery , Red Wine 
 Celery , Beef Stock 
 Celery , Bay Leaf 
 Celery , Thyme 
 Celery , Parsley 
 Celery , Plain Flour 
 Celery , Baking Powder 
 Celery , Suet 
 Celery , Water 
 Carrots , Leek 
 Carrots , Swede 
 Carrots , Red Wine 
 Carrots , Beef Stock 
 Carrots , Bay Leaf 
 Carrots , Thyme 
 Carrots , Parsley 
 Carrots , Plain Flour 
 Carrots , Baking Powder 
 Carrots , Suet 
 Carrots , Water 
 Leek , Swede 
 Leek , Red Wine 
 Leek , Beef Stock 
 Leek , Bay Leaf 
 Leek , Thyme 
 Leek , Parsley 
 Leek , Plain Flour 
 Leek , Baking Powder 
 Leek , Suet 
 Leek , Water 
 Swede , Red Wine 
 Swede , Beef Stock 
 Swede , Bay Leaf 
 Swede , Thyme 
 Swede , Parsley 
 Swede , Plain Flour 
 Swede , Baking Powder 
 Swede , Suet 
 Swede , Water 
 Red Wine , Beef Stock 
 Red Wine , Bay Leaf 
 Red Wine , Thyme 
 Red Wine , Parsley 
 Red Wine , Plain Flour 
 Red Wine , Baking Powder 
 Red Wine , Suet 
 Red Wine , Water 
 Beef Stock , Bay Leaf 
 Beef Stock , Thyme 
 Beef Stock , Parsley 
 Beef Stock , Plain Flour 
 Beef Stock , Baking Powder 
 Beef Stock , Suet 
 Beef Stock , Water 
 Bay Leaf , Thyme 
 Bay Leaf , Parsley 
 Bay Leaf , Plain Flour 
 Bay Leaf , Baking Powder 
 Bay Leaf , Suet 
 Bay Leaf , Water 
 Thyme , Parsley 
 Thyme , Plain Flour 
 Thyme , Baking Powder 
 Thyme , Suet 
 Thyme , Water 
 Parsley , Plain Flour 
 Parsley , Baking Powder 
 Parsley , Suet 
 Parsley , Water 
 Plain Flour , Baking Powder 
 Plain Flour , Suet 
 Plain Flour , Water 
 Baking Powder , Suet 
 Baking Powder , Water 
 Suet , Water 
Beef , Olive Oil 
Beef , Shallots 
Beef , Garlic 
Beef , Bacon 
Beef , Thyme 
Beef , Bay Leaf 
Beef , Stout 
Beef , Beef Stock 
Beef , Corn Flour 
Beef , Oysters 
Beef , Plain Flour 
Beef , Salt 
Beef , Butter 
Beef , Eggs 
 Olive Oil , Shallots 
 Olive Oil , Garlic 
 Olive Oil , Bacon 
 Olive Oil , Thyme 
 Olive Oil , Bay Leaf 
 Olive Oil , Stout 
 Olive Oil , Beef Stock 
 Olive Oil , Corn Flour 
 Olive Oil , Oysters 
 Olive Oil , Plain Flour 
 Olive Oil , Salt 
 Olive Oil , Butter 
 Olive Oil , Eggs 
 Shallots , Garlic 
 Shallots , Bacon 
 Shallots , Thyme 
 Shallots , Bay Leaf 
 Shallots , Stout 
 Shallots , Beef Stock 
 Shallots , Corn Flour 
 Shallots , Oysters 
 Shallots , Plain Flour 
 Shallots , Salt 
 Shallots , Butter 
 Shallots , Eggs 
 Garlic , Bacon 
 Garlic , Thyme 
 Garlic , Bay Leaf 
 Garlic , Stout 
 Garlic , Beef Stock 
 Garlic , Corn Flour 
 Garlic , Oysters 
 Garlic , Plain Flour 
 Garlic , Salt 
 Garlic , Butter 
 Garlic , Eggs 
 Bacon , Thyme 
 Bacon , Bay Leaf 
 Bacon , Stout 
 Bacon , Beef Stock 
 Bacon , Corn Flour 
 Bacon , Oysters 
 Bacon , Plain Flour 
 Bacon , Salt 
 Bacon , Butter 
 Bacon , Eggs 
 Thyme , Bay Leaf 
 Thyme , Stout 
 Thyme , Beef Stock 
 Thyme , Corn Flour 
 Thyme , Oysters 
 Thyme , Plain Flour 
 Thyme , Salt 
 Thyme , Butter 
 Thyme , Eggs 
 Bay Leaf , Stout 
 Bay Leaf , Beef Stock 
 Bay Leaf , Corn Flour 
 Bay Leaf , Oysters 
 Bay Leaf , Plain Flour 
 Bay Leaf , Salt 
 Bay Leaf , Butter 
 Bay Leaf , Eggs 
 Stout , Beef Stock 
 Stout , Corn Flour 
 Stout , Oysters 
 Stout , Plain Flour 
 Stout , Salt 
 Stout , Butter 
 Stout , Eggs 
 Beef Stock , Corn Flour 
 Beef Stock , Oysters 
 Beef Stock , Plain Flour 
 Beef Stock , Salt 
 Beef Stock , Butter 
 Beef Stock , Eggs 
 Corn Flour , Oysters 
 Corn Flour , Plain Flour 
 Corn Flour , Salt 
 Corn Flour , Butter 
 Corn Flour , Eggs 
 Oysters , Plain Flour 
 Oysters , Salt 
 Oysters , Butter 
 Oysters , Eggs 
 Plain Flour , Salt 
 Plain Flour , Butter 
 Plain Flour , Eggs 
 Salt , Butter 
 Salt , Eggs 
 Butter , Eggs 
Butter , Caster Sugar 
Butter , Self-raising Flour 
Butter , Almonds 
Butter , Baking Powder 
Butter , Eggs 
Butter , Vanilla Extract 
Butter , Almond Extract 
Butter , Butter 
Butter , Caster Sugar 
Butter , Self-raising Flour 
Butter , Almonds 
Butter , Baking Powder 
Butter , Eggs 
Butter , Vanilla Extract 
Butter , Almond Extract 
Butter , Pink Food Colouring 
Butter , Apricot 
Butter , Marzipan 
Butter , Icing Sugar 
 Caster Sugar , Self-raising Flour 
 Caster Sugar , Almonds 
 Caster Sugar , Baking Powder 
 Caster Sugar , Eggs 
 Caster Sugar , Vanilla Extract 
 Caster Sugar , Almond Extract 
 Caster Sugar , Butter 
 Caster Sugar , Caster Sugar 
 Caster Sugar , Self-raising Flour 
 Caster Sugar , Almonds 
 Caster Sugar , Baking Powder 
 Caster Sugar , Eggs 
 Caster Sugar , Vanilla Extract 
 Caster Sugar , Almond Extract 
 Caster Sugar , Pink Food Colouring 
 Caster Sugar , Apricot 
 Caster Sugar , Marzipan 
 Caster Sugar , Icing Sugar 
 Self-raising Flour , Almonds 
 Self-raising Flour , Baking Powder 
 Self-raising Flour , Eggs 
 Self-raising Flour , Vanilla Extract 
 Self-raising Flour , Almond Extract 
 Self-raising Flour , Butter 
 Self-raising Flour , Caster Sugar 
 Self-raising Flour , Self-raising Flour 
 Self-raising Flour , Almonds 
 Self-raising Flour , Baking Powder 
 Self-raising Flour , Eggs 
 Self-raising Flour , Vanilla Extract 
 Self-raising Flour , Almond Extract 
 Self-raising Flour , Pink Food Colouring 
 Self-raising Flour , Apricot 
 Self-raising Flour , Marzipan 
 Self-raising Flour , Icing Sugar 
 Almonds , Baking Powder 
 Almonds , Eggs 
 Almonds , Vanilla Extract 
 Almonds , Almond Extract 
 Almonds , Butter 
 Almonds , Caster Sugar 
 Almonds , Self-raising Flour 
 Almonds , Almonds 
 Almonds , Baking Powder 
 Almonds , Eggs 
 Almonds , Vanilla Extract 
 Almonds , Almond Extract 
 Almonds , Pink Food Colouring 
 Almonds , Apricot 
 Almonds , Marzipan 
 Almonds , Icing Sugar 
 Baking Powder , Eggs 
 Baking Powder , Vanilla Extract 
 Baking Powder , Almond Extract 
 Baking Powder , Butter 
 Baking Powder , Caster Sugar 
 Baking Powder , Self-raising Flour 
 Baking Powder , Almonds 
 Baking Powder , Baking Powder 
 Baking Powder , Eggs 
 Baking Powder , Vanilla Extract 
 Baking Powder , Almond Extract 
 Baking Powder , Pink Food Colouring 
 Baking Powder , Apricot 
 Baking Powder , Marzipan 
 Baking Powder , Icing Sugar 
 Eggs , Vanilla Extract 
 Eggs , Almond Extract 
 Eggs , Butter 
 Eggs , Caster Sugar 
 Eggs , Self-raising Flour 
 Eggs , Almonds 
 Eggs , Baking Powder 
 Eggs , Eggs 
 Eggs , Vanilla Extract 
 Eggs , Almond Extract 
 Eggs , Pink Food Colouring 
 Eggs , Apricot 
 Eggs , Marzipan 
 Eggs , Icing Sugar 
 Vanilla Extract , Almond Extract 
 Vanilla Extract , Butter 
 Vanilla Extract , Caster Sugar 
 Vanilla Extract , Self-raising Flour 
 Vanilla Extract , Almonds 
 Vanilla Extract , Baking Powder 
 Vanilla Extract , Eggs 
 Vanilla Extract , Vanilla Extract 
 Vanilla Extract , Almond Extract 
 Vanilla Extract , Pink Food Colouring 
 Vanilla Extract , Apricot 
 Vanilla Extract , Marzipan 
 Vanilla Extract , Icing Sugar 
 Almond Extract , Butter 
 Almond Extract , Caster Sugar 
 Almond Extract , Self-raising Flour 
 Almond Extract , Almonds 
 Almond Extract , Baking Powder 
 Almond Extract , Eggs 
 Almond Extract , Vanilla Extract 
 Almond Extract , Almond Extract 
 Almond Extract , Pink Food Colouring 
 Almond Extract , Apricot 
 Almond Extract , Marzipan 
 Almond Extract , Icing Sugar 
 Butter , Caster Sugar 
 Butter , Self-raising Flour 
 Butter , Almonds 
 Butter , Baking Powder 
 Butter , Eggs 
 Butter , Vanilla Extract 
 Butter , Almond Extract 
 Butter , Pink Food Colouring 
 Butter , Apricot 
 Butter , Marzipan 
 Butter , Icing Sugar 
 Caster Sugar , Self-raising Flour 
 Caster Sugar , Almonds 
 Caster Sugar , Baking Powder 
 Caster Sugar , Eggs 
 Caster Sugar , Vanilla Extract 
 Caster Sugar , Almond Extract 
 Caster Sugar , Pink Food Colouring 
 Caster Sugar , Apricot 
 Caster Sugar , Marzipan 
 Caster Sugar , Icing Sugar 
 Self-raising Flour , Almonds 
 Self-raising Flour , Baking Powder 
 Self-raising Flour , Eggs 
 Self-raising Flour , Vanilla Extract 
 Self-raising Flour , Almond Extract 
 Self-raising Flour , Pink Food Colouring 
 Self-raising Flour , Apricot 
 Self-raising Flour , Marzipan 
 Self-raising Flour , Icing Sugar 
 Almonds , Baking Powder 
 Almonds , Eggs 
 Almonds , Vanilla Extract 
 Almonds , Almond Extract 
 Almonds , Pink Food Colouring 
 Almonds , Apricot 
 Almonds , Marzipan 
 Almonds , Icing Sugar 
 Baking Powder , Eggs 
 Baking Powder , Vanilla Extract 
 Baking Powder , Almond Extract 
 Baking Powder , Pink Food Colouring 
 Baking Powder , Apricot 
 Baking Powder , Marzipan 
 Baking Powder , Icing Sugar 
 Eggs , Vanilla Extract 
 Eggs , Almond Extract 
 Eggs , Pink Food Colouring 
 Eggs , Apricot 
 Eggs , Marzipan 
 Eggs , Icing Sugar 
 Vanilla Extract , Almond Extract 
 Vanilla Extract , Pink Food Colouring 
 Vanilla Extract , Apricot 
 Vanilla Extract , Marzipan 
 Vanilla Extract , Icing Sugar 
 Almond Extract , Pink Food Colouring 
 Almond Extract , Apricot 
 Almond Extract , Marzipan 
 Almond Extract , Icing Sugar 
 Pink Food Colouring , Apricot 
 Pink Food Colouring , Marzipan 
 Pink Food Colouring , Icing Sugar 
 Apricot , Marzipan 
 Apricot , Icing Sugar 
 Marzipan , Icing Sugar 
Plain Flour , Caster Sugar 
Plain Flour , Yeast 
Plain Flour , Milk 
Plain Flour , Eggs 
Plain Flour , Eggs 
Plain Flour , Butter 
Plain Flour , Brie 
Plain Flour , Prosciutto 
 Caster Sugar , Yeast 
 Caster Sugar , Milk 
 Caster Sugar , Eggs 
 Caster Sugar , Eggs 
 Caster Sugar , Butter 
 Caster Sugar , Brie 
 Caster Sugar , Prosciutto 
 Yeast , Milk 
 Yeast , Eggs 
 Yeast , Eggs 
 Yeast , Butter 
 Yeast , Brie 
 Yeast , Prosciutto 
 Milk , Eggs 
 Milk , Eggs 
 Milk , Butter 
 Milk , Brie 
 Milk , Prosciutto 
 Eggs , Eggs 
 Eggs , Butter 
 Eggs , Brie 
 Eggs , Prosciutto 
 Eggs , Butter 
 Eggs , Brie 
 Eggs , Prosciutto 
 Butter , Brie 
 Butter , Prosciutto 
 Brie , Prosciutto 
Water , Yeast 
Water , Sugar 
Water , Milk 
Water , Butter 
Water , Eggs 
Water , Salt 
Water , Flour 
Water , Oil 
Water , Lemon 
Water , Sugar 
Water , Cinnamon 
 Yeast , Sugar 
 Yeast , Milk 
 Yeast , Butter 
 Yeast , Eggs 
 Yeast , Salt 
 Yeast , Flour 
 Yeast , Oil 
 Yeast , Lemon 
 Yeast , Sugar 
 Yeast , Cinnamon 
 Sugar , Milk 
 Sugar , Butter 
 Sugar , Eggs 
 Sugar , Salt 
 Sugar , Flour 
 Sugar , Oil 
 Sugar , Lemon 
 Sugar , Sugar 
 Sugar , Cinnamon 
 Milk , Butter 
 Milk , Eggs 
 Milk , Salt 
 Milk , Flour 
 Milk , Oil 
 Milk , Lemon 
 Milk , Sugar 
 Milk , Cinnamon 
 Butter , Eggs 
 Butter , Salt 
 Butter , Flour 
 Butter , Oil 
 Butter , Lemon 
 Butter , Sugar 
 Butter , Cinnamon 
 Eggs , Salt 
 Eggs , Flour 
 Eggs , Oil 
 Eggs , Lemon 
 Eggs , Sugar 
 Eggs , Cinnamon 
 Salt , Flour 
 Salt , Oil 
 Salt , Lemon 
 Salt , Sugar 
 Salt , Cinnamon 
 Flour , Oil 
 Flour , Lemon 
 Flour , Sugar 
 Flour , Cinnamon 
 Oil , Lemon 
 Oil , Sugar 
 Oil , Cinnamon 
 Lemon , Sugar 
 Lemon , Cinnamon 
 Sugar , Cinnamon 
Beef , Salt 
Beef , Pepper 
Beef , Sesame Seed Oil 
Beef , Egg 
Beef , Starch 
Beef , Oil 
Beef , Noodles 
Beef , Onion 
Beef , Minced Garlic 
Beef , Ginger 
Beef , Bean Sprouts 
Beef , Mushrooms 
Beef , Water 
Beef , Oyster Sauce 
Beef , Sugar 
Beef , Soy Sauce 
 Salt , Pepper 
 Salt , Sesame Seed Oil 
 Salt , Egg 
 Salt , Starch 
 Salt , Oil 
 Salt , Noodles 
 Salt , Onion 
 Salt , Minced Garlic 
 Salt , Ginger 
 Salt , Bean Sprouts 
 Salt , Mushrooms 
 Salt , Water 
 Salt , Oyster Sauce 
 Salt , Sugar 
 Salt , Soy Sauce 
 Pepper , Sesame Seed Oil 
 Pepper , Egg 
 Pepper , Starch 
 Pepper , Oil 
 Pepper , Noodles 
 Pepper , Onion 
 Pepper , Minced Garlic 
 Pepper , Ginger 
 Pepper , Bean Sprouts 
 Pepper , Mushrooms 
 Pepper , Water 
 Pepper , Oyster Sauce 
 Pepper , Sugar 
 Pepper , Soy Sauce 
 Sesame Seed Oil , Egg 
 Sesame Seed Oil , Starch 
 Sesame Seed Oil , Oil 
 Sesame Seed Oil , Noodles 
 Sesame Seed Oil , Onion 
 Sesame Seed Oil , Minced Garlic 
 Sesame Seed Oil , Ginger 
 Sesame Seed Oil , Bean Sprouts 
 Sesame Seed Oil , Mushrooms 
 Sesame Seed Oil , Water 
 Sesame Seed Oil , Oyster Sauce 
 Sesame Seed Oil , Sugar 
 Sesame Seed Oil , Soy Sauce 
 Egg , Starch 
 Egg , Oil 
 Egg , Noodles 
 Egg , Onion 
 Egg , Minced Garlic 
 Egg , Ginger 
 Egg , Bean Sprouts 
 Egg , Mushrooms 
 Egg , Water 
 Egg , Oyster Sauce 
 Egg , Sugar 
 Egg , Soy Sauce 
 Starch , Oil 
 Starch , Noodles 
 Starch , Onion 
 Starch , Minced Garlic 
 Starch , Ginger 
 Starch , Bean Sprouts 
 Starch , Mushrooms 
 Starch , Water 
 Starch , Oyster Sauce 
 Starch , Sugar 
 Starch , Soy Sauce 
 Oil , Noodles 
 Oil , Onion 
 Oil , Minced Garlic 
 Oil , Ginger 
 Oil , Bean Sprouts 
 Oil , Mushrooms 
 Oil , Water 
 Oil , Oyster Sauce 
 Oil , Sugar 
 Oil , Soy Sauce 
 Noodles , Onion 
 Noodles , Minced Garlic 
 Noodles , Ginger 
 Noodles , Bean Sprouts 
 Noodles , Mushrooms 
 Noodles , Water 
 Noodles , Oyster Sauce 
 Noodles , Sugar 
 Noodles , Soy Sauce 
 Onion , Minced Garlic 
 Onion , Ginger 
 Onion , Bean Sprouts 
 Onion , Mushrooms 
 Onion , Water 
 Onion , Oyster Sauce 
 Onion , Sugar 
 Onion , Soy Sauce 
 Minced Garlic , Ginger 
 Minced Garlic , Bean Sprouts 
 Minced Garlic , Mushrooms 
 Minced Garlic , Water 
 Minced Garlic , Oyster Sauce 
 Minced Garlic , Sugar 
 Minced Garlic , Soy Sauce 
 Ginger , Bean Sprouts 
 Ginger , Mushrooms 
 Ginger , Water 
 Ginger , Oyster Sauce 
 Ginger , Sugar 
 Ginger , Soy Sauce 
 Bean Sprouts , Mushrooms 
 Bean Sprouts , Water 
 Bean Sprouts , Oyster Sauce 
 Bean Sprouts , Sugar 
 Bean Sprouts , Soy Sauce 
 Mushrooms , Water 
 Mushrooms , Oyster Sauce 
 Mushrooms , Sugar 
 Mushrooms , Soy Sauce 
 Water , Oyster Sauce 
 Water , Sugar 
 Water , Soy Sauce 
 Oyster Sauce , Sugar 
 Oyster Sauce , Soy Sauce 
 Sugar , Soy Sauce 
Ricotta , Eggs 
Ricotta , Flour 
Ricotta , Sugar 
Ricotta , Cinnamon 
Ricotta , Lemons 
Ricotta , Dark Rum 
Ricotta , Icing Sugar 
 Eggs , Flour 
 Eggs , Sugar 
 Eggs , Cinnamon 
 Eggs , Lemons 
 Eggs , Dark Rum 
 Eggs , Icing Sugar 
 Flour , Sugar 
 Flour , Cinnamon 
 Flour , Lemons 
 Flour , Dark Rum 
 Flour , Icing Sugar 
 Sugar , Cinnamon 
 Sugar , Lemons 
 Sugar , Dark Rum 
 Sugar , Icing Sugar 
 Cinnamon , Lemons 
 Cinnamon , Dark Rum 
 Cinnamon , Icing Sugar 
 Lemons , Dark Rum 
 Lemons , Icing Sugar 
 Dark Rum , Icing Sugar 
Butter , Flour 
Butter , Beef Stock 
Butter , Onion 
Butter , Parsley 
Butter , Beef 
Butter , Salt 
Butter , Pepper 
Butter , Nutmeg 
Butter , Flour 
Butter , Eggs 
Butter , Breadcrumbs 
 Flour , Beef Stock 
 Flour , Onion 
 Flour , Parsley 
 Flour , Beef 
 Flour , Salt 
 Flour , Pepper 
 Flour , Nutmeg 
 Flour , Flour 
 Flour , Eggs 
 Flour , Breadcrumbs 
 Beef Stock , Onion 
 Beef Stock , Parsley 
 Beef Stock , Beef 
 Beef Stock , Salt 
 Beef Stock , Pepper 
 Beef Stock , Nutmeg 
 Beef Stock , Flour 
